"id","lesson_name","user_id","time","time_writing","anwser_shown","backspaces","total_chars","answer_show"
863,r1,13,"42","22",true,22,12,
155,r7,12,"408","276",true,203,268,1
159,v4,12,"322","264",true,244,190,1
163,r2,21,"739","296",true,72,79,1
166,r5,21,"583","405",true,24,44,1
171,r2,23,"211","102",true,41,39,1
172,r3,23,"48","1",true,0,54,1
173,r4,23,"32","1",true,0,38,1
174,r5,23,"29","1",true,214,286,1
175,r6,23,"21","2",true,437,992,1
176,r7,23,"134","48",true,60,82,1
177,v1,23,"41","8",true,53,13,1
178,v2,23,"15","3",true,25,32,1
179,a2,21,"1055","345",true,75,182,1
180,v3,23,"38","4",true,19,36,1
181,v4,23,"15","1",true,0,59,1
182,v5,23,"39","2",true,155,302,1
183,v6,23,"88","54",true,14,540,1
184,v7,23,"294","183",true,1384,1876,1
186,a2,23,"35","1",true,20,61,1
187,a3,23,"26","11",true,45,52,1
188,a4,23,"44","1",true,0,51,1
189,a5,23,"191","176",true,1159,1146,1
190,a6,23,"53","1",true,28,225,1
191,a7,23,"139","71",true,383,597,1
192,a3,21,"1313","216",true,53,49,1
193,a4,21,"546","231",true,0,51,1
195,a6,21,"186","6",true,0,185,1
196,a7,21,"274","201",true,66,164,1
199,v3,21,"502","133",true,7,21,1
200,v4,21,"440","340",true,163,356,1
201,v5,21,"631","305",true,171,282,1
202,v6,21,"206","95",true,24,271,1
203,v7,21,"397","349",true,60,264,1
229,a3,33,"156","128",true,75,78,1
230,a4,33,"358","293",true,1135,1077,1
231,a5,33,"644","620",true,801,756,1
864,r2,13,"24","18",true,0,37,
232,r1,34,"25","4",false,21,10,0
233,r2,34,"95","22",false,54,31,0
234,r3,34,"122","78",false,69,54,0
236,r4,34,"182","26",false,169,44,0
237,r5,34,"393","257",false,310,322,0
238,a7,33,"629","551",false,405,348,0
239,r6,34,"325","279",false,26,241,0
240,v1,33,"16","5",false,9,11,0
241,r7,34,"55","24",false,62,83,0
235,a6,33,"602","550",true,1132,1392,1
249,v5,33,"479","459",true,495,569,1
256,r1,35,"50","27",true,0,0,1
266,v4,20,"33","14",true,126,50,1
280,a6,38,"235","135",true,9,163,1
283,a7,38,"348","280",true,46,156,1
285,r5,39,"246","136",true,287,368,1
286,r6,39,"128","68",true,201,483,1
287,r7,39,"110","6",true,0,84,1
290,a3,39,"164","149",true,134,148,1
291,a4,39,"229","75",true,51,236,1
292,a5,39,"278","185",true,138,147,1
294,a7,39,"125","23",true,122,259,1
299,v5,39,"111","37",true,157,304,1
865,r3,13,"11","1",true,0,65,
356,a3,41,"164","149",true,134,148,1
351,r5,41,"214","147",true,135,245,1
357,a4,41,"253","124",true,74,232,1
360,a7,41,"179","125",true,57,175,1
365,v5,41,"174","135",true,124,213,1
374,r5,40,"161","99",true,193,236,1
376,r7,40,"307","139",true,115,153,1
378,a2,40,"234","122",true,162,174,1
379,a3,40,"231","186",true,49,62,1
381,a5,40,"95","88",true,105,121,1
382,a6,40,"316","56",true,11,195,1
383,a7,40,"99","23",true,122,289,1
388,v5,40,"106","34",true,156,308,1
389,v6,40,"95","10",true,0,257,1
436,v4,38,"551","187",true,46,100,1
439,v7,38,"209","67",true,62,211,1
440,r1,50,"444","13",true,0,0,1
441,r2,50,"689","189",true,0,0,1
442,r3,50,"1613","982",true,0,0,1
443,r4,50,"1620","48",true,0,0,1
444,r5,50,"699","198",true,0,0,1
446,r2,51,"2429","656",true,223,204,1
866,r4,13,"8","1",true,0,47,
456,r5,43,"248","164",true,147,190,1
468,r6,43,"113","11",true,214,694,1
474,a2,43,"137","23",true,83,104,1
477,a5,43,"372","27",true,177,195,1
478,a6,43,"355","1",true,28,223,1
491,r3,49,"326","197",true,33,81,1
526,a3,52,"371","150",true,0,0,1
537,v7,52,"196","87",true,0,0,1
867,r1,13,"15","4",false,23,12,
560,v2,31,"23","2",true,65,122,1
561,v3,31,"22","2",true,40,62,1
562,v4,31,"21","2",true,155,296,1
563,v5,31,"13","0",true,155,597,1
564,v6,31,"20","16",true,292,619,1
565,v7,31,"63","36",true,582,1061,1
570,r5,55,"214","127",true,296,211,1
577,a5,55,"326","155",true,267,162,1
578,a6,55,"165","86",true,229,837,1
579,a7,55,"230","194",true,236,209,1
591,r5,58,"201","75",true,157,200,1
593,r7,58,"154","39",true,199,297,1
600,r7,59,"71","51",true,154,194,1
602,a2,59,"60","50",true,104,156,1
603,a3,59,"39","28",true,66,72,1
604,a4,59,"43","15",true,17,80,1
645,a2,58,"333","11",true,26,70,1
649,a5,58,"415","138",true,203,183,1
658,r5,61,"194","114",true,220,282,1
868,r1,13,"24","5",false,27,12,
676,r5,62,"240","130",true,0,22,1
677,r6,63,"438","254",true,230,342,1
679,r7,64,"259","192",true,165,321,1
681,v5,61,"244","82",true,155,302,1
697,v5,63,"194","57",true,155,302,1
702,v5,62,"218","63",true,155,308,1
714,a2,61,"264","56",true,6,41,1
716,a3,62,"199","77",true,36,36,1
717,a3,61,"174","57",true,7,5,1
718,a3,63,"235","180",true,60,65,1
720,a4,62,"207","128",true,29,119,1
721,a4,61,"216","124",true,17,64,1
723,a5,64,"282","145",true,181,303,1
724,a5,62,"249","163",true,198,231,1
725,a5,61,"247","114",true,138,192,1
726,a5,63,"457","366",true,221,259,1
728,a6,62,"413","316",true,433,512,1
729,a6,61,"480","341",true,145,410,1
730,a6,63,"389","198",true,40,228,1
731,a7,64,"448","238",true,271,475,1
733,a7,61,"384","199",true,166,160,1
740,a5,12,"329","76",true,131,173,1
741,a6,12,"111","38",true,86,273,1
758,a3,49,"210","11",true,0,6,1
759,a4,49,"349","47",true,20,67,1
762,a7,49,"126","83",true,117,152,1
869,r1,13,"28","15",true,20,10,
128,r1,17,"15","3",false,21,10,0
129,r2,17,"133","20",false,42,35,0
130,r3,17,"139","52",false,25,54,0
768,r2,86,"429","259",true,79,124,1
769,r3,86,"929","366",true,435,510,1
776,v3,49,"293","55",true,23,82,1
779,v6,49,"298","234",true,204,529,1
781,v7,49,"151","56",true,47,185,1
782,a2,86,"466","296",true,226,328,1
783,a3,86,"403","264",true,73,82,1
784,a4,86,"705","162",true,73,130,1
785,a5,86,"1148","675",true,701,605,1
787,a7,86,"495","304",true,140,634,1
790,r3,32,"99","44",true,0,0,1
792,r5,32,"117","86",true,0,0,1
794,r7,32,"76","0",true,0,0,1
799,r5,77,"849","345",true,73,90,1
804,v3,86,"434","263",true,121,174,1
805,v4,86,"632","466",true,133,162,1
806,v5,86,"427","293",true,246,299,1
808,v7,86,"377","313",true,113,258,1
810,r2,93,"261","123",true,176,487,1
811,r3,93,"214","129",true,507,301,1
812,r4,93,"95","3",true,0,39,1
813,r5,93,"219","118",true,101,99,1
814,r6,93,"125","86",true,387,1174,1
817,a2,93,"83","74",true,513,931,1
818,a3,93,"66","13",true,96,117,1
819,a4,93,"97","0",true,17,81,1
820,a5,93,"217","187",true,207,182,1
821,a6,93,"79","1",true,28,223,1
822,a7,93,"85","71",true,57,209,1
824,v2,93,"51","24",true,85,101,1
825,v3,93,"185","163",true,66,110,1
826,v4,93,"149","72",true,196,231,1
827,v5,93,"40","2",true,48,163,1
829,v7,93,"66","38",true,671,998,1
832,a3,77,"426","202",true,76,67,1
131,r4,17,"30","15",false,30,48,0
132,r5,17,"49","28",false,45,38,0
133,r6,17,"56","36",false,47,261,0
134,r7,17,"74","63",false,45,97,0
135,a1,17,"9","3",false,2,12,0
136,a2,17,"105","36",false,12,66,0
137,a3,17,"18","2",false,0,6,0
138,a4,17,"67","20",false,21,68,0
139,a5,17,"37","21",false,189,63,0
140,a6,17,"52","37",false,52,189,0
141,a7,17,"149","132",false,176,171,0
142,v1,17,"8","3",false,13,14,0
143,v2,17,"37","26",false,0,40,0
144,v3,17,"50","11",false,1,15,0
145,v4,17,"56","32",false,2,48,0
146,v5,17,"173","164",false,84,182,0
147,v6,17,"46","34",false,40,152,0
148,v7,17,"35","28",false,38,164,0
149,r1,12,"51","4",false,22,10,0
150,r2,12,"112","41",false,21,35,0
151,r3,12,"83","42",false,120,72,0
152,r4,12,"53","22",false,69,63,0
153,r5,12,"106","16",false,19,31,0
154,r6,12,"88","44",false,68,261,0
156,v1,12,"14","2",false,8,10,0
157,v2,12,"94","27",false,36,38,0
158,v3,12,"444","276",false,20,41,0
160,v5,12,"221","130",false,25,71,0
161,v6,12,"101","57",false,40,303,0
162,r1,21,"52","18",false,26,15,0
164,r3,21,"342","44",false,2,51,0
165,r4,21,"1118","30",false,5,43,0
167,r6,21,"187","75",false,47,261,0
168,r7,21,"223","69",false,37,92,0
169,a1,21,"34","24",false,10,11,0
170,r1,23,"22","9",false,31,11,0
185,a1,23,"11","5",false,18,11,0
194,a5,21,"979","200",false,141,61,0
197,v1,21,"53","31",false,17,19,0
198,v2,21,"512","103",false,2,30,0
204,r1,31,"30","15",false,20,10,0
205,r2,31,"264","174",false,57,71,0
206,r3,31,"190","73",false,70,35,0
207,r4,31,"179","33",false,69,15,0
208,r5,31,"379","337",false,339,163,0
209,r6,31,"208","89",false,49,246,0
210,r7,31,"81","55",false,26,90,0
211,a1,31,"11","5",false,4,14,0
212,a2,31,"77","57",false,60,81,0
213,a3,31,"119","95",false,10,18,0
214,a4,31,"124","44",false,57,81,0
215,a5,31,"135","88",false,124,120,0
216,a6,31,"555","483",false,357,503,0
