"id","lesson_taken_id","time","backspaces","total_chars"
611,372,"42",4,52
615,375,"20",52,269
618,378,"92",44,44
619,378,"27",118,130
622,381,"88",105,121
626,384,"3",8,10
629,387,"19",2,46
633,390,"35",280,223
634,390,"3",8,10
639,393,"12",25,40
642,396,"13",1,261
643,396,"0",0,0
644,396,"0",0,0
650,399,"15",19,34
663,402,"54",60,47
666,405,"3",8,11
671,408,"25",0,51
241,128,"3",21,10
242,129,"20",42,35
243,130,"0",0,0
244,130,"32",25,54
245,131,"15",30,48
246,132,"28",45,38
247,133,"18",47,260
248,133,"0",0,1
249,134,"9",2,28
250,134,"15",31,63
251,134,"5",12,6
252,135,"3",2,12
253,136,"23",6,59
254,136,"1",6,7
255,137,"2",0,6
256,138,"20",21,68
257,139,"21",189,63
258,140,"37",52,189
259,141,"74",173,157
260,141,"5",0,3
261,141,"5",3,11
262,142,"3",13,14
263,143,"26",0,40
264,144,"11",1,15
265,145,"32",2,48
266,146,"164",84,182
267,147,"29",40,152
268,147,"0",0,0
269,148,"28",38,164
270,149,"4",22,10
271,150,"41",21,35
272,151,"42",120,72
273,152,"22",69,63
274,153,"16",19,31
275,154,"44",68,261
276,155,"93",127,125
277,155,"18",25,88
278,155,"9",51,55
279,156,"2",8,10
280,157,"27",36,38
281,158,"276",20,41
282,159,"264",244,190
283,160,"130",25,71
284,161,"57",40,303
285,162,"18",26,15
286,163,"23",24,15
287,163,"25",3,12
288,163,"149",45,52
289,164,"44",2,51
290,165,"30",5,43
291,166,"405",24,44
292,167,"75",47,261
293,168,"69",37,92
294,169,"24",10,11
295,170,"9",31,11
296,171,"102",41,39
297,172,"1",0,54
298,173,"1",0,38
299,174,"1",214,286
300,175,"2",437,992
301,176,"0",0,0
302,176,"20",60,82
303,177,"8",53,13
304,178,"3",25,32
305,179,"114",37,152
306,179,"20",38,30
307,180,"4",19,36
308,181,"1",0,59
309,182,"2",155,302
310,183,"32",14,540
311,183,"0",0,0
312,183,"0",0,0
313,184,"40",0,189
314,184,"7",39,1
315,184,"14",55,57
316,184,"10",1290,1629
317,185,"5",18,11
318,186,"1",20,61
319,187,"0",0,0
320,187,"1",45,52
